小区名称,销售情况,区划,区域,周边地铁,建筑材质,建造年份,房价,在售房数,成交数量,正在出租,Cluster
普渡寺东巷,"['30天成交0套', '2套正在出租']",东城,东单,近地铁8号线金鱼胡同站,14,1980-2003年,136558.0,,30,2,3
马园胡同,"['30天成交0套', '0套正在出租']",东城,交道口,近地铁2号线安定门站,9,1960-2013年,,,30,0,0
民主北街89号,"['30天成交0套', '0套正在出租']",东城,永定门,,11,1979年,,,30,0,0
民主北街,"['30天成交0套', '0套正在出租']",东城,永定门,近地铁14号线永定门外站,11,1930-1980年,,,30,0,0
清华街,"['30天成交0套', '0套正在出租']",东城,天坛,近地铁5号线磁器口站,9,1960-1980年,,,30,0,0
前炒面胡同,"['30天成交0套', '0套正在出租']",东城,金宝街,近地铁5号线东四站,9,1980-1999年,131263.0,,30,0,3
千福巷,"['30天成交0套', '0套正在出租']",东城,安定门,近地铁2号线鼓楼大街站,9,1980年,,,30,0,0
前拐棒胡同,"['30天成交0套', '0套正在出租']",东城,金宝街,近地铁5号线东四站,9,1980年,,,30,0,0
前鼓楼苑胡同,"['30天成交0套', '0套正在出租']",东城,地安门,近地铁8号线什刹海站,9,1980年,,,30,0,0
骑河楼南巷,"['30天成交0套', '0套正在出租']",东城,灯市口,近地铁8号线金鱼胡同站,11,1986年,,,30,0,0
麒麟碑胡同,"['30天成交0套', '0套正在出租']",东城,交道口,,9,未知,,,30,0,0
钱粮北巷,"['30天成交0套', '0套正在出租']",东城,安定门,近地铁2号线安定门站,9,未知,,,30,0,0
秦老胡同,"['30天成交0套', '1套正在出租']",东城,地安门,近地铁6号线南锣鼓巷站,9,1980-2000年,194813.0,,30,1,6
钱粮胡同,"['30天成交0套', '1套正在出租']",东城,东四,近地铁5号线东四站,9,1970-2000年,152316.0,,30,1,3
礼士胡同,"['30天成交0套', '0套正在出租']",东城,金宝街,近地铁2号线朝阳门站,9,1970-2019年,208697.0,,30,0,6
流水巷,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,9,1970-2010年,,,30,0,0
流水东巷,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,9,1980-2000年,,,30,0,0
利生体育用品商厦,"['30天成交0套', '0套正在出租']",东城,灯市口,近地铁8号线金鱼胡同站,11,未知,,,30,0,0
纳福胡同,"['30天成交0套', '0套正在出租']",东城,东四,近地铁6号线南锣鼓巷站,9,1980-2010年,197085.0,,30,0,6
禄米仓东巷,"['30天成交0套', '2套正在出租']",东城,朝阳门内,近地铁5号线灯市口站,9,1955-2016年,,,30,2,0
琉璃寺胡同,"['30天成交0套', '0套正在出租']",东城,地安门,近地铁2号线鼓楼大街站,14,1981-2022年,103990.0,,30,0,1
禄米仓胡同71号院,"['30天成交0套', '0套正在出租']",东城,朝阳门内,近地铁5号线灯市口站,11,1977-1992年,133480.0,,30,0,3
腊库胡同,"['30天成交0套', '0套正在出租']",东城,东四,近地铁6号线南锣鼓巷站,9,1980-2017年,,,30,0,0
门楼胡同,"['30天成交0套', '0套正在出租']",东城,东四,近地铁2号线东四十条站,9,1988年,,,30,0,0
灯市口北巷,"['30天成交0套', '0套正在出租']",东城,灯市口,近地铁8号线中国美术馆站,9,未知,,,30,0,0
东四五条,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,14,1955-2010年,153411.0,,30,0,3
东四六条,"['30天成交1套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,14,1955-2004年,114744.0,,30,0,1
